縮圖,遊戲名稱,好評率,總評論數,價格,連結
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2394650/header.jpg,Crypt Custodian,97.7%,1904,$19.99,https://store.steampowered.com/app/2394650
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1853760/header.jpg,Frogmonster,97.3%,451,$19.99,https://store.steampowered.com/app/1853760
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1262040/header.jpg,Super Mombo Quest,97.2%,726,$19.99,https://store.steampowered.com/app/1262040
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1924780/header.jpg,Arzette: The Jewel of Faramore,97.2%,860,$19.99,https://store.steampowered.com/app/1924780
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1096180/header.jpg,Ato,97.2%,426,$14.99,https://store.steampowered.com/app/1096180
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1781260/header.jpg,Promenade,97.1%,611,$19.99,https://store.steampowered.com/app/1781260
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1299690/header.jpg,Gori: Cuddly Carnage,97.0%,1214,$21.99,https://store.steampowered.com/app/1299690
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1281790/header.jpg,SHEEPO,97.0%,464,$9.99,https://store.steampowered.com/app/1281790
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1066900/header.jpg,qomp,96.9%,483,$6.99,https://store.steampowered.com/app/1066900
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2085800/header.jpg,Kalinur,96.4%,477,$1.99,https://store.steampowered.com/app/2085800
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1669420/header.jpg,Islets,96.2%,1674,$19.99,https://store.steampowered.com/app/1669420
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2006140/header.jpg,Withering Rooms,96.0%,1165,$24.99,https://store.steampowered.com/app/2006140
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1898500/header.jpg,Worldless,95.6%,1187,$19.99,https://store.steampowered.com/app/1898500
https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1733250/header.jpg,Turbo Kid,95.5%,423,$19.99,https://store.steampowered.com/app/1733250
